base,variant,rule_id,n_changes,purity,target_drop,collateral,n_chars,engine_findings,detector,score
b01_医学影像,00_base,-,0,1.0,0,0,433,20,,
b01_医学影像,V-T1_T1 强标记词,V-T1,5,1.0,5,0,412,13,,
b01_医学影像,V-T2_T2 中等标记词,V-T2,4,1.0,3,0,427,16,,
b01_医学影像,S01_整齐三元并列,S01,1,1.0,1,0,428,19,,
b01_医学影像,S02_编号枚举骨架,S02,3,1.0,1,0,424,19,,
b01_医学影像,S03_否定式排比,S03,2,1.0,1,0,430,19,,
b01_医学影像,S04_回避系动词,S04,1,1.0,1,0,429,19,,
b01_医学影像,S05_句尾浮泛分析,S05,1,1.0,1,0,419,18,,
b01_医学影像,S06_空心分析句式,S06,2,1.0,2,0,427,18,,
b01_医学影像,S07_模糊归因,S07,1,1.0,1,0,428,19,,
b01_医学影像,S08_泛化结尾,S08,3,1.0,3,0,328,13,,
b01_医学影像,P01_理论起笔,P01,1,1.0,1,0,422,19,,
b01_医学影像,BURST_句长拉平(反向),BURST,3,n/a,CV 0.2919→0.4141,-,433,21,,
b01_医学影像,ZZ_ALL_全部消融,ALL,-1,-,-,-,297,0,,
b02_教育管理,00_base,-,0,1.0,0,0,448,21,,
b02_教育管理,V-T1_T1 强标记词,V-T1,5,1.0,5,0,427,14,,
b02_教育管理,V-T2_T2 中等标记词,V-T2,4,1.0,3,0,442,17,,
b02_教育管理,S01_整齐三元并列,S01,1,1.0,1,0,444,20,,
b02_教育管理,S02_编号枚举骨架,S02,3,1.0,1,0,439,20,,
b02_教育管理,S03_否定式排比,S03,2,1.0,1,0,445,20,,
b02_教育管理,S04_回避系动词,S04,1,1.0,1,0,444,20,,
b02_教育管理,S05_句尾浮泛分析,S05,1,1.0,1,0,432,19,,
b02_教育管理,S06_空心分析句式,S06,2,1.0,2,0,442,19,,
b02_教育管理,S07_模糊归因,S07,1,1.0,1,0,443,20,,
b02_教育管理,S08_泛化结尾,S08,4,1.0,4,0,290,11,,
b02_教育管理,P01_理论起笔,P01,1,1.0,1,0,437,20,,
b02_教育管理,BURST_句长拉平(反向),BURST,5,n/a,CV 0.3089→0.3621,-,448,20,,
b02_教育管理,ZZ_ALL_全部消融,ALL,-1,-,-,-,266,0,,
